h,Label,n,total,Protocol,Dst Port,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Flow Duration
625154896083832568,Portscan,6648,6715,6,146,1,1,0,0,43
625154896083832568,Infiltration - Portscan,67,6715,6,146,1,1,0,0,43
15230297392868281059,Portscan,5721,5765,6,1521,1,1,0,0,44
15230297392868281059,Infiltration - Portscan,44,5765,6,1521,1,1,0,0,44
11037628422884680195,Portscan,3735,3933,6,4567,1,1,0,0,49
11037628422884680195,Infiltration - Portscan,198,3933,6,4567,1,1,0,0,49
665806363693241593,Portscan,2509,3149,6,6510,1,1,0,0,48
665806363693241593,Infiltration - Portscan,640,3149,6,6510,1,1,0,0,48
14338923228514530172,Portscan,2747,2837,6,7741,1,1,0,0,42
14338923228514530172,Infiltration - Portscan,90,2837,6,7741,1,1,0,0,42
10556886085614524937,Portscan,2116,2181,6,3006,1,1,0,0,45
10556886085614524937,Infiltration - Portscan,65,2181,6,3006,1,1,0,0,45
14622964473183426443,Infiltration - Portscan,1411,1996,6,8080,1,1,0,0,17
14622964473183426443,Portscan,585,1996,6,8080,1,1,0,0,17
3643613923769250657,Portscan,1902,1950,6,19315,1,1,0,0,54
3643613923769250657,Infiltration - Portscan,48,1950,6,19315,1,1,0,0,54
11731466798461183647,Infiltration - Portscan,1389,1872,6,1121,1,1,0,0,16
11731466798461183647,Portscan,483,1872,6,1121,1,1,0,0,16
7143528695510721725,Infiltration - Portscan,1132,1679,6,179,1,1,0,0,19
7143528695510721725,Portscan,547,1679,6,179,1,1,0,0,19
14935050887333042778,Infiltration - Portscan,1151,1632,6,1062,1,1,0,0,21
14935050887333042778,Portscan,481,1632,6,1062,1,1,0,0,21
11885919271869139506,Portscan,1556,1585,6,843,1,1,0,0,55
11885919271869139506,Infiltration - Portscan,29,1585,6,843,1,1,0,0,55
15414440774670739687,Infiltration - Portscan,868,1522,6,3168,1,1,0,0,18
15414440774670739687,Portscan,654,1522,6,3168,1,1,0,0,18
5286561142412798180,Infiltration - Portscan,1041,1508,6,24800,1,1,0,0,20
5286561142412798180,Portscan,467,1508,6,24800,1,1,0,0,20
15516625448515810404,Portscan,1351,1401,6,1233,1,1,0,0,50
15516625448515810404,Infiltration - Portscan,50,1401,6,1233,1,1,0,0,50
15757180413169098676,Portscan,1213,1325,6,667,1,1,0,0,41
15757180413169098676,Infiltration - Portscan,112,1325,6,667,1,1,0,0,41
17150392690342610514,Portscan,1247,1315,6,3389,1,1,0,0,53
17150392690342610514,Infiltration - Portscan,68,1315,6,3389,1,1,0,0,53
13739056871958537246,Portscan,990,1284,6,1047,1,1,0,0,47
13739056871958537246,Infiltration - Portscan,294,1284,6,1047,1,1,0,0,47
14463760999028120322,Portscan,1125,1258,6,6566,1,1,0,0,46
14463760999028120322,Infiltration - Portscan,133,1258,6,6566,1,1,0,0,46
6690346752810642708,Infiltration - Portscan,785,1206,6,1782,1,1,0,0,15
6690346752810642708,Portscan,421,1206,6,1782,1,1,0,0,15
6035898415259855220,Portscan,1198,1201,6,903,1,1,0,0,63
6035898415259855220,Infiltration - Portscan,3,1201,6,903,1,1,0,0,63
17040549193778328834,Infiltration - Portscan,712,1158,6,2394,1,1,0,0,22
17040549193778328834,Portscan,446,1158,6,2394,1,1,0,0,22
9214248901994254077,Portscan,1084,1087,6,56737,1,1,0,0,62
9214248901994254077,Infiltration - Portscan,3,1087,6,56737,1,1,0,0,62
5880571063843064750,Portscan,987,1066,6,6025,1,1,0,0,52
5880571063843064750,Infiltration - Portscan,79,1066,6,6025,1,1,0,0,52
17671233917728048136,Portscan,1052,1054,6,17988,1,1,0,0,74
17671233917728048136,Infiltration - Portscan,2,1054,6,17988,1,1,0,0,74
