label,n,share_start_inside_documented_utc_window,first,last,doc_first,doc_last
FTP-Patator,3972,1.0,2017-07-04 12:19:20.152476,2017-07-04 13:20:13.627945,2017-07-04 12:17:52.838272095,2017-07-04 13:20:16.931402922
SSH-Patator,2961,1.0,2017-07-04 17:09:01.049616,2017-07-04 19:04:15.353690,2017-07-04 17:09:01.049616098,2017-07-04 19:04:19.018486023
DoS Hulk,158468,1.0,2017-07-05 13:43:23.194704,2017-07-05 14:01:34.512067,2017-07-05 13:43:23.194704056,2017-07-05 14:07:21.326170921
DoS GoldenEye,7567,1.0,2017-07-05 14:10:03.231753,2017-07-05 14:19:49.515445,2017-07-05 14:10:03.231753111,2017-07-05 14:20:08.915718079
DoS Slowloris,3859,1.0,2017-07-05 12:48:54.539220,2017-07-05 13:10:11.354291,2017-07-05 12:48:54.539220095,2017-07-05 13:11:18.500956058
DoS Slowhttptest,1740,1.0,2017-07-05 13:15:37.936810,2017-07-05 13:35:18.764958,2017-07-05 13:15:37.936810017,2017-07-05 13:37:49.331516981
Heartbleed,11,1.0,2017-07-05 18:12:15.650811,2017-07-05 18:32:18.242051,2017-07-05 18:12:15.650810957,2017-07-05 18:32:43.294455051
Web Attack - SQL Injection,13,1.0,2017-07-06 13:35:45.732950,2017-07-06 13:42:50.310628,2017-07-06 13:35:45.732949972,2017-07-06 13:42:55.320283890
Web Attack - XSS,18,1.0,2017-07-06 13:16:16.603214,2017-07-06 13:34:28.136241,2017-07-06 13:15:35.283859015,2017-07-06 13:35:21.341703892
Web Attack - Brute Force,73,1.0,2017-07-06 12:19:27.660566,2017-07-06 12:59:41.197757,2017-07-06 12:19:27.660566092,2017-07-06 13:00:11.622209072
Infiltration,36,1.0,2017-07-06 17:19:02.547210,2017-07-06 18:44:24.375292,2017-07-06 17:19:02.547209978,2017-07-06 20:02:19.347892046
Infiltration - Portscan,71767,1.0,2017-07-06 17:00:31.706755,2017-07-06 18:46:04.331747,2017-07-06 17:00:31.706754923,2017-07-06 18:46:04.331875086
Portscan,159066,1.0,2017-07-07 16:55:32.117090,2017-07-07 18:23:53.256235,2017-07-07 16:55:32.117089987,2017-07-07 18:24:01.699238062
Botnet,736,1.0,2017-07-07 13:04:13.990571,2017-07-07 14:02:02.808963,2017-07-07 13:04:13.990571022,2017-07-07 14:02:02.903736115
DDoS,95144,1.0,2017-07-07 18:56:31.796937,2017-07-07 19:16:10.645771,2017-07-07 18:56:31.796936989,2017-07-07 19:16:12.216559887
