label,n,distinct_vectors,share_rows_duplicated_within_label,share_rows_vector_also_under_other_label,share_rows_coarse_duplicated_within_label,repeat_within_1s,repeat_within_60s,median_repeat_gap_s,largest_group
BENIGN,1582566,1423829,0.13804163617820678,9.478277683205629e-06,0.7777223825104292,0.03369724764862635,0.06934741112658044,16042.360487937927,1340
Portscan,159066,1683,0.9917455647341356,0.4798574176756818,0.9999182729181597,0.8925106269419187,0.9973758283931555,0.0030820369720458984,6715
DoS Hulk,158468,158468,0.0,0.0,0.7418406239745564,0.0,0.0,,1
DDoS,95144,95144,0.0,0.0,0.9978033296897335,0.0,0.0,,1
Infiltration - Portscan,71767,6127,0.9473295525798765,0.20613931194002816,0.9994705087296389,0.812812309567337,0.8679768433881779,0.001249551773071289,8160
DoS GoldenEye,7567,7567,0.0,0.0,0.28373199418527817,0.0,0.0,,1
Botnet - Attempted,4067,1198,0.8962380132776002,0.024588148512417016,1.0,0.004879749041477867,0.018473335657023353,2011.5862519741058,17
FTP-Patator,3972,3972,0.0,0.0,0.8655589123867069,0.0,0.0,,1
DoS Slowloris,3859,3859,0.0,0.0,0.9901528893495725,0.0,0.0,,1
DoS Slowhttptest - Attempted,3368,3368,0.0,0.0,0.9967339667458432,0.0,0.0,,1
SSH-Patator,2961,2961,0.0,0.0,0.950354609929078,0.0,0.0,,1
DoS Slowloris - Attempted,1847,1844,0.0032485110990795887,0.0,0.9945858148348673,0.6666666666666666,0.6666666666666666,3.0994415283203125e-06,2
DoS Slowhttptest,1740,1740,0.0,0.0,0.9425287356321839,0.0,0.0,,1
Web Attack - Brute Force - Attempted,1292,1292,0.0,0.0,0.9938080495356038,0.0,0.0,,1
Botnet,736,736,0.0,0.0,0.9293478260869565,0.0,0.0,,1
Web Attack - XSS - Attempted,655,655,0.0,0.0,0.9938931297709923,0.0,0.0,,1
DoS Hulk - Attempted,581,580,0.0034423407917383822,0.0,0.9931153184165232,1.0,1.0,0.0,2
DoS GoldenEye - Attempted,80,80,0.0,0.0,1.0,0.0,0.0,,1
Web Attack - Brute Force,73,73,0.0,0.0,0.0,0.0,0.0,,1
Infiltration - Attempted,45,45,0.0,0.3333333333333333,0.9111111111111111,0.0,0.0,,17
Infiltration,36,36,0.0,0.0,0.0,0.0,0.0,,1
SSH-Patator - Attempted,27,27,0.0,0.0,0.8888888888888888,0.0,0.0,,1
Web Attack - XSS,18,18,0.0,0.0,0.0,0.0,0.0,,1
Web Attack - SQL Injection,13,13,0.0,0.0,0.15384615384615385,0.0,0.0,,1
FTP-Patator - Attempted,12,12,0.0,0.0,0.9166666666666666,0.0,0.0,,1
Heartbleed,11,11,0.0,0.0,0.0,0.0,0.0,,1
Web Attack - SQL Injection - Attempted,5,5,0.0,0.0,0.0,0.0,0.0,,1
