day,label,n,first,last_start,last_end,span_min,src_ips,dst_ips,dst_ports,median_gap_s,top_gaps_min,bursts_gap>60s,bursts_gap>300s,bursts_gap>900s
friday,Botnet,736,2017-07-07 13:04:13.990571022,2017-07-07 14:02:02.808963060,2017-07-07 14:02:02.903736115,57.81363986730575,5,1,1,2.060575008392334,"1.2, 1.2, 1.2",7,1,1
friday,Botnet - Attempted,4067,2017-07-07 14:03:14.356592894,2017-07-07 20:01:12.727507114,2017-07-07 20:01:21.730729103,357.97284857034686,5,1,1,0.4974404573440552,"1.5, 1.5, 1.5",209,1,1
friday,Portscan,159066,2017-07-07 16:55:32.117089987,2017-07-07 18:23:53.256234884,2017-07-07 18:24:01.699237823,88.35231908162434,1,1,1001,3.695487976074219e-05,"35.7, 13.4, 7.2",9,5,2
friday,DDoS,95144,2017-07-07 18:56:31.796936989,2017-07-07 19:16:10.645771027,2017-07-07 19:16:12.217065811,19.647480567296345,1,1,1,4.9114227294921875e-05,"0.0, 0.0, 0.0",1,1,1
thursday,Web Attack - Brute Force - Attempted,1292,2017-07-06 12:15:54.880048990,2017-07-06 13:00:10.400480032,2017-07-06 13:00:11.622209072,44.258673850695295,1,1,1,1.278162956237793,"2.4, 1.9, 1.0",3,1,1
thursday,Web Attack - Brute Force,73,2017-07-06 12:19:27.660566092,2017-07-06 12:59:41.197757006,2017-07-06 13:00:11.622154951,40.22561984856923,1,1,1,32.88964009284973,"1.9, 0.6, 0.6",2,1,1
thursday,Web Attack - XSS - Attempted,655,2017-07-06 13:15:35.283859015,2017-07-06 13:35:21.109335899,2017-07-06 13:35:21.341703892,19.7637579480807,1,1,1,1.293571949005127,"0.4, 0.3, 0.1",1,1,1
thursday,Web Attack - XSS,18,2017-07-06 13:16:16.603214025,2017-07-06 13:34:28.136240959,2017-07-06 13:35:21.341703892,18.192217115561167,1,1,1,64.47642111778259,"1.1, 1.1, 1.1",17,1,1
thursday,Web Attack - SQL Injection - Attempted,5,2017-07-06 13:35:27.852813959,2017-07-06 13:35:45.720612049,2017-07-06 13:35:45.754510164,0.297796634833018,1,1,1,2.9740869998931885,"0.2, 0.1, 0.0",1,1,1
thursday,Web Attack - SQL Injection,13,2017-07-06 13:35:45.732949972,2017-07-06 13:42:50.310627937,2017-07-06 13:42:55.320283890,7.076294632752736,1,1,1,12.748391509056091,"4.4, 0.6, 0.6",2,1,1
thursday,Infiltration - Portscan,71767,2017-07-06 17:00:31.706754923,2017-07-06 18:46:04.331747055,2017-07-06 18:46:04.331750154,105.54374986886978,2,11,1102,4.8160552978515625e-05,"32.8, 31.4, 1.8",8,3,3
thursday,Infiltration - Attempted,45,2017-07-06 17:13:48.830533028,2017-07-06 20:02:18.410784960,2017-07-06 20:02:19.347892046,168.49300419886907,3,1,1,10.00074291229248,"117.9, 19.9, 15.3",5,5,4
