label,n,src_ips,dst_ips,dst_ports_top,share_same_day_benign_from_these_src_ips,benign_rows_from_these_src_ips_same_day
Botnet,736,"192.168.10.14, 192.168.10.15, 192.168.10.5, 192.168.10.8, 192.168.10.9",205.174.165.73,8080,0.4471830985915493,129032
DDoS,95144,172.16.0.1,192.168.10.50,80,0.00045746922479760453,132
DoS GoldenEye,7567,172.16.0.1,192.168.10.50,80,5.953873151165706e-05,19
DoS Hulk,158468,172.16.0.1,192.168.10.50,80,5.953873151165706e-05,19
DoS Slowhttptest,1740,172.16.0.1,192.168.10.50,80,5.953873151165706e-05,19
DoS Slowloris,3859,172.16.0.1,192.168.10.50,80,5.953873151165706e-05,19
FTP-Patator,3972,172.16.0.1,192.168.10.50,21,3.1735352548031456e-06,1
Heartbleed,11,172.16.0.1,192.168.10.51,444,5.953873151165706e-05,19
Infiltration,36,"192.168.10.25, 192.168.10.8",205.174.165.73,444,0.11410199464208876,32881
Infiltration - Portscan,71767,"172.16.0.1, 192.168.10.8","192.168.10.12, 192.168.10.14, 192.168.10.15, 192.168.10.16 ...","135, 139, 445",0.08669475174548534,24983
Portscan,159066,172.16.0.1,192.168.10.50,"80, 21, 22",0.00045746922479760453,132
SSH-Patator,2961,172.16.0.1,192.168.10.50,22,3.1735352548031456e-06,1
Web Attack - Brute Force,73,172.16.0.1,192.168.10.50,80,0.0003261940785364296,94
Web Attack - SQL Injection,13,172.16.0.1,192.168.10.50,80,0.0003261940785364296,94
Web Attack - XSS,18,172.16.0.1,192.168.10.50,80,0.0003261940785364296,94
