label_original,family,full,exact_seen,near_seen,novel,exact_overlap_share,near_overlap_share,novel_unstable,protocol,variant,feature_set
BENIGN,BENIGN,474768,50653,351420,424115,0.10669000438108718,0.7401931048427863,False,chrono,primary,default
Botnet,Botnet,221,0,206,221,0.0,0.9321266968325792,False,chrono,primary,default
Botnet - Attempted,BENIGN,1220,899,1220,321,0.7368852459016394,1.0,False,chrono,primary,default
DDoS,DDoS,28543,0,28380,28543,0.0,0.9942893178712819,False,chrono,primary,default
DoS GoldenEye,DoS GoldenEye,2270,0,429,2270,0.0,0.18898678414096917,False,chrono,primary,default
DoS GoldenEye - Attempted,BENIGN,24,0,24,24,0.0,1.0,True,chrono,primary,default
DoS Hulk,DoS Hulk,47540,0,31582,47540,0.0,0.6643247791333614,False,chrono,primary,default
DoS Hulk - Attempted,BENIGN,174,0,174,174,0.0,1.0,False,chrono,primary,default
DoS Slowhttptest,DoS Slowhttptest,522,0,32,522,0.0,0.06130268199233716,False,chrono,primary,default
DoS Slowhttptest - Attempted,BENIGN,1010,0,800,1010,0.0,0.7920792079207921,False,chrono,primary,default
DoS Slowloris,DoS Slowloris,1158,0,798,1158,0.0,0.689119170984456,False,chrono,primary,default
DoS Slowloris - Attempted,BENIGN,554,1,480,553,0.0018050541516245488,0.8664259927797834,False,chrono,primary,default
FTP-Patator,FTP-Patator,1192,0,968,1192,0.0,0.8120805369127517,False,chrono,primary,default
FTP-Patator - Attempted,BENIGN,4,0,4,4,0.0,1.0,True,chrono,primary,default
Heartbleed,Heartbleed,3,0,0,3,0.0,0.0,True,chrono,primary,default
Infiltration,Infiltration,11,0,0,11,0.0,0.0,True,chrono,primary,default
Infiltration - Attempted,BENIGN,14,0,13,14,0.0,0.9285714285714286,True,chrono,primary,default
Infiltration - Portscan,Portscan,21530,19992,21513,1538,0.9285647933116582,0.99921040408732,False,chrono,primary,default
Portscan,Portscan,47720,47200,47629,520,0.989103101424979,0.9980930427493714,False,chrono,primary,default
SSH-Patator,SSH-Patator,888,0,827,888,0.0,0.9313063063063063,False,chrono,primary,default
SSH-Patator - Attempted,BENIGN,8,0,1,8,0.0,0.125,True,chrono,primary,default
Web Attack - Brute Force,Web Attack - Brute Force,22,0,0,22,0.0,0.0,True,chrono,primary,default
Web Attack - Brute Force - Attempted,BENIGN,388,0,388,388,0.0,1.0,False,chrono,primary,default
Web Attack - SQL Injection,Web Attack - SQL Injection,4,0,1,4,0.0,0.25,True,chrono,primary,default
Web Attack - SQL Injection - Attempted,BENIGN,2,0,1,2,0.0,0.5,True,chrono,primary,default
Web Attack - XSS,Web Attack - XSS,5,0,0,5,0.0,0.0,True,chrono,primary,default
Web Attack - XSS - Attempted,BENIGN,197,0,197,197,0.0,1.0,False,chrono,primary,default
BENIGN,BENIGN,474768,50439,350218,424329,0.10623925791123244,0.737661341960705,False,chrono,primary,default_plus_dst_port
Botnet,Botnet,221,0,206,221,0.0,0.9321266968325792,False,chrono,primary,default_plus_dst_port
Botnet - Attempted,BENIGN,1220,899,1059,321,0.7368852459016394,0.8680327868852459,False,chrono,primary,default_plus_dst_port
DDoS,DDoS,28543,0,28380,28543,0.0,0.9942893178712819,False,chrono,primary,default_plus_dst_port
DoS GoldenEye,DoS GoldenEye,2270,0,429,2270,0.0,0.18898678414096917,False,chrono,primary,default_plus_dst_port
DoS GoldenEye - Attempted,BENIGN,24,0,24,24,0.0,1.0,True,chrono,primary,default_plus_dst_port
