protocol,variant,feature_set,n_features,full_test,novel_test,excluded_seen,attack_full,attack_novel,benign_full,benign_novel,attack_exact_overlap_share,attack_near_overlap_share,benign_exact_overlap_share
chrono,primary,default,82,629992,511247,118745,151629,84437,478363,426810,0.4431342289403742,0.8729530630684104,0.10776962265058125
chrono,primary,default_plus_dst_port,83,629992,544836,85156,151629,117812,478363,427024,0.2230246193010572,0.871205376280263,0.1073222636366107
chrono,primary,no_tcp_window,80,629992,511171,118821,151629,84361,478363,426810,0.4436354523211259,0.8729662531573775,0.10776962265058125
chrono,primary,no_header_length,80,629992,511247,118745,151629,84437,478363,426810,0.4431342289403742,0.8729530630684104,0.10776962265058125
chrono,excl_attempted,default,82,626397,508552,117845,151629,84437,474768,424115,0.4431342289403742,0.8729530630684104,0.10669000438108718
chrono,excl_attempted,default_plus_dst_port,83,626397,542141,84256,151629,117812,474768,424329,0.2230246193010572,0.871205376280263,0.10623925791123244
chrono,excl_attempted,no_tcp_window,80,626397,508476,117921,151629,84361,474768,424115,0.4436354523211259,0.8729662531573775,0.10669000438108718
chrono,excl_attempted,no_header_length,80,626397,508552,117845,151629,84437,474768,424115,0.4431342289403742,0.8729530630684104,0.10669000438108718
random,primary,default,82,629992,507671,122321,151629,84137,478363,423534,0.4451127422854467,0.8818761582546875,0.11461797839715865
random,primary,default_plus_dst_port,83,629992,539744,90248,151629,115571,478363,424173,0.23780411398874884,0.8801878268668922,0.11328217274329327
random,primary,no_tcp_window,80,629992,507658,122334,151629,84124,478363,423534,0.4451984778637332,0.8818761582546875,0.11461797839715865
random,primary,no_header_length,80,629992,507671,122321,151629,84137,478363,423534,0.4451127422854467,0.881882753299171,0.11461797839715865
