stratum,train_size,val_size,test_size,purged_size,train_min,train_max,val_min,val_max,test_min,test_max
friday|BENIGN,161137,40114,86563,730,2017-07-07 11:59:50.315194845,2017-07-07 16:37:26.679666996,2017-07-07 16:37:26.711344957,2017-07-07 17:40:44.907395124,2017-07-07 17:40:44.920961142,2017-07-07 20:02:40.977797985
friday|Botnet,412,103,221,0,2017-07-07 13:04:13.990571022,2017-07-07 13:42:36.460783005,2017-07-07 13:42:36.729058027,2017-07-07 13:45:29.957201004,2017-07-07 13:45:30.340636015,2017-07-07 14:02:02.808963060
friday|Botnet - Attempted,2278,569,1220,0,2017-07-07 14:03:14.356592894,2017-07-07 17:05:14.055586100,2017-07-07 17:05:14.154501200,2017-07-07 17:50:41.875480175,2017-07-07 17:50:42.238927126,2017-07-07 20:01:12.727506876
friday|DDoS,52760,12812,28543,1029,2017-07-07 18:56:31.796936989,2017-07-07 19:07:34.600815058,2017-07-07 19:07:38.629024982,2017-07-07 19:10:22.099211931,2017-07-07 19:10:22.957072973,2017-07-07 19:16:10.645771027
friday|Portscan,89075,22267,47720,4,2017-07-07 16:55:32.117089987,2017-07-07 17:54:54.620301008,2017-07-07 17:54:54.620384932,2017-07-07 17:55:24.796648026,2017-07-07 17:55:24.796759129,2017-07-07 18:23:53.256235123
monday|BENIGN,207902,51627,111486,606,2017-07-03 11:55:58.598308086,2017-07-03 16:02:29.451322079,2017-07-03 16:02:29.579888821,2017-07-03 17:14:19.903263092,2017-07-03 17:14:20.289410114,2017-07-03 20:01:34.352592945
thursday|BENIGN,161096,40013,86451,611,2017-07-06 11:59:00.490139961,2017-07-06 16:59:10.933336020,2017-07-06 16:59:10.939764023,2017-07-06 17:59:49.251574039,2017-07-06 17:59:49.751300097,2017-07-06 20:04:36.513760090
thursday|Infiltration,20,5,11,0,2017-07-06 17:19:02.547209978,2017-07-06 18:04:25.514724015,2017-07-06 18:07:13.896300077,2017-07-06 18:16:40.210757971,2017-07-06 18:19:14.897480965,2017-07-06 18:44:24.375291824
thursday|Infiltration - Attempted,25,6,14,0,2017-07-06 17:13:48.830533028,2017-07-06 18:01:15.940400839,2017-07-06 18:01:25.941371918,2017-07-06 18:02:15.945178032,2017-07-06 18:02:25.946023941,2017-07-06 20:02:18.410784960
thursday|Infiltration - Portscan,40188,10040,21530,9,2017-07-06 17:00:31.706755161,2017-07-06 18:28:44.339527845,2017-07-06 18:28:44.339546204,2017-07-06 18:32:27.855787039,2017-07-06 18:32:27.855901003,2017-07-06 18:46:04.331747055
thursday|Web Attack - Brute Force,40,9,22,2,2017-07-06 12:19:27.660566092,2017-07-06 12:41:54.374223948,2017-07-06 12:43:00.329722166,2017-07-06 12:47:17.491276026,2017-07-06 12:48:23.332066059,2017-07-06 12:59:41.197757006
thursday|Web Attack - Brute Force - Attempted,720,178,388,6,2017-07-06 12:15:54.880048990,2017-07-06 12:43:10.402137041,2017-07-06 12:43:16.796440125,2017-07-06 12:48:32.342393160,2017-07-06 12:48:38.632427931,2017-07-06 13:00:10.400480032
thursday|Web Attack - SQL Injection,7,2,4,0,2017-07-06 13:35:45.732949972,2017-07-06 13:41:20.992304087,2017-07-06 13:41:34.345595837,2017-07-06 13:41:46.489086866,2017-07-06 13:41:54.064530849,2017-07-06 13:42:50.310628176
