run_id,experiment,family,params,fit_s,val_pred_us_per_row,best_iteration,converged,val_pr_auc,val_roc_auc,val_recall@0.1%,val_fpr@0.1%,val_fp@0.1%,val_fn@0.1%,val_recall@1%,val_fpr@1%
E1_primary__lgbm__0b8c6aaad7,E1_primary,lgbm,"{""learning_rate"": 0.05, ""min_child_samples"": 500, ""n_estimators"": 3000, ""num_leaves"": 15}",30.287201040999207,3.1437800997274747,446.0,,0.9999625392055553,0.9999895522399267,0.9998695368558382,0.0008573078727935603,190,9,1.0,0.001340107569577302
E1_primary__lgbm__5d21f73d36,E1_primary,lgbm,"{""learning_rate"": 0.05, ""min_child_samples"": 500, ""n_estimators"": 3000, ""num_leaves"": 255}",29.564367957995273,5.523333757729755,159.0,,0.999937531163242,0.9999855469043996,0.9998405450460245,0.000902429339782695,200,11,1.0,0.008762588889289968
E1_primary__lgbm__6a2ae79cad,E1_primary,lgbm,"{""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 3000, ""num_leaves"": 15}",14.93390295899735,0.921388074715704,170.0,,0.9999240091014786,0.9999582961153997,0.9996520982822352,0.0009701115402663971,215,24,0.9999565122852794,0.0031945998628307402
E1_primary__lgbm__99966b1299,E1_primary,lgbm,"{""learning_rate"": 0.05, ""min_child_samples"": 500, ""n_estimators"": 3000, ""num_leaves"": 63}",17.487433834001422,1.9290392486150372,162.0,,0.9999725048063397,0.9999932821111379,0.9998115532362107,0.0008663321661913872,192,13,1.0,0.003068259755261163
E1_primary__lgbm__a9b520a857,E1_primary,lgbm,"{""learning_rate"": 0.05, ""min_child_samples"": 100, ""n_estimators"": 3000, ""num_leaves"": 255}",26.074662332997832,4.346546390514312,149.0,,0.9976517341773995,0.9998022731334959,0.9999565122852794,0.000997184420459878,221,3,1.0,0.005315308811320074
E1_primary__lgbm__ae2b36847a,E1_primary,lgbm,"{""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 3000, ""num_leaves"": 63}",15.215265625003667,1.7204226021762947,143.0,,0.9998831866031466,0.9999521479271645,0.9998840327607451,0.0009836479803631375,218,8,0.9999275204754656,0.007693210121647475
E1_primary__lgbm__aee2f8a9ee,E1_primary,lgbm,"{""learning_rate"": 0.05, ""min_child_samples"": 100, ""n_estimators"": 3000, ""num_leaves"": 15}",27.57200775000092,2.461639322939287,379.0,,0.9999388821908001,0.9999844784377416,0.9998840327607451,0.0009926722737609644,220,8,0.9999855040950931,0.0010287694473522723
E1_primary__lgbm__d9ae187f20,E1_primary,lgbm,"{""learning_rate"": 0.05, ""min_child_samples"": 100, ""n_estimators"": 3000, ""num_leaves"": 63}",18.4913532089995,2.0186186594462017,178.0,,0.9998718629677865,0.9999762383493572,0.999898528665652,0.000988160127062051,219,7,0.9999855040950931,0.0026937515792513447
E1_primary__lgbm__e28cdf778c,E1_primary,lgbm,"{""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 3000, ""num_leaves"": 255}",25.620699749997584,4.801090410121022,146.0,,0.9984329814159677,0.9997716579058227,0.999898528665652,0.0004692632566870014,104,7,0.9999710081901863,0.0067140742879832505
E1_primary__lr__0587332323,E1_primary,lr,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 2000}",15.125120917000459,1.6450489902244487,,True,0.9960636212803965,0.9994019859714146,0.9792273682684641,0.000997184420459878,221,1433,0.9963035442487497,0.00989513771071725
