case,source_file,source_row,day,label_original,y_binary,score,threshold,prediction,novel,protocol,src_dst,reverse_of_attack_pair,lgbm_top_toward_attack,lgbm_top_toward_benign,rf_top_toward_attack,rf_top_toward_benign
1 high-confidence TP (median of TP with score >= 0.99),friday.csv,146038,friday,Portscan,1,0.999772,0.0275979,1,False,6,172.16.0.1:56383 -> 192.168.10.50:1972,False,RST Flag Count=1 (+6.45); Flow Duration=43 (+3.22); Bwd PSH Flags=0 (+1.17),Bwd Init Win Bytes=0 (-0.19); Total Length of Bwd Packet=0 (-0.10); SYN Flag Count=1 (-0.08),Fwd Packet Length Max=0 (+0.08); Flow Duration=43 (+0.07); Fwd Packet Length Mean=0 (+0.06),Bwd Init Win Bytes=0 (-0.01); Packet Length Variance=0 (-0.00); Fwd Header Length=24 (-0.00)
2 borderline TP (lowest-scoring TP in sample),friday.csv,91911,friday,Portscan,1,0.0285207,0.0275979,1,True,6,172.16.0.1:57314 -> 192.168.10.50:80,False,Bwd Init Win Bytes=227 (+1.51); Bwd Packet Length Mean=0 (+0.67); Bwd Packet Length Min=0 (+0.66),RST Flag Count=0 (-1.72); FIN Flag Count=2 (-0.37); Flow Duration=3.57608e+06 (-0.36),Fwd Packet Length Max=0 (+0.04); Packet Length Max=0 (+0.02); SYN Flag Count=2 (+0.01),Flow IAT Max=3.56914e+06 (-0.03); Flow Duration=3.57608e+06 (-0.03); Flow Packets/s=1.95745 (-0.02)
3 Thursday FP (median-score Thursday FP),thursday.csv,104411,thursday,BENIGN,0,0.964466,0.0275979,1,True,6,192.168.10.16:9220 -> 192.168.10.8:45748,True,RST Flag Count=2 (+6.00); Total TCP Flow Time=49 (+2.20); Flow Duration=49 (+2.05),Fwd Seg Size Min=20 (-1.96); Bwd Init Win Bytes=1024 (-1.39); FWD Init Win Bytes=0 (-0.67),Fwd Packet Length Max=0 (+0.07); Flow Duration=49 (+0.05); Flow Packets/s=81632.7 (+0.04),FWD Init Win Bytes=0 (-0.08); Bwd Init Win Bytes=1024 (-0.06); Fwd Seg Size Min=20 (-0.06)
4 Friday FP (median-score Friday FP),friday.csv,70207,friday,BENIGN,0,0.960687,0.0275979,1,True,6,192.168.10.50:1500 -> 172.16.0.1:39492,True,RST Flag Count=1 (+6.24); Flow Duration=2 (+2.20); Total TCP Flow Time=2 (+2.16),Fwd Seg Size Min=20 (-1.86); Bwd Init Win Bytes=1024 (-1.45); FWD Init Win Bytes=0 (-0.71),Fwd Packet Length Max=0 (+0.06); Flow Duration=2 (+0.05); Flow Packets/s=1e+06 (+0.04),FWD Init Win Bytes=0 (-0.09); Bwd Init Win Bytes=1024 (-0.06); Fwd Seg Size Min=20 (-0.06)
5 Mon-Wed FP (median-score Mon-Wed FP),wednesday.csv,31398,wednesday,DoS Slowhttptest - Attempted,0,0.2541,0.0275979,1,True,6,172.16.0.1:37766 -> 192.168.10.50:80,False,RST Flag Count=1 (+4.54); Bwd Init Win Bytes=235 (+1.70); Bwd Packet Length Std=1402.19 (+1.00),SYN Flag Count=0 (-2.66); Total TCP Flow Time=4.0978e+08 (-0.73); FWD Init Win Bytes=0 (-0.54),Fwd Packet Length Max=0 (+0.04); Bwd Packet Length Std=1402.19 (+0.02); Packet Length Variance=1.31076e+06 (+0.02),Fwd Seg Size Min=0 (-0.03); SYN Flag Count=0 (-0.03); Total TCP Flow Time=4.0978e+08 (-0.03)
6 FN (median-score FN),thursday.csv,78593,thursday,Infiltration,1,0.003236,0.0275979,0,True,6,192.168.10.8:1260 -> 205.174.165.73:444,False,Fwd PSH Flags=26 (+0.98); Bwd Packet Length Mean=0 (+0.61); Bwd Segment Size Avg=0 (+0.47),RST Flag Count=0 (-1.49); SYN Flag Count=0 (-1.03); Bwd Init Win Bytes=1452 (-0.39),Bwd Packet Length Mean=0 (+0.06); Bwd Segment Size Avg=0 (+0.05); Total Length of Bwd Packet=0 (+0.03),Total TCP Flow Time=1.55566e+09 (-0.02); FWD Init Win Bytes=255 (-0.01); SYN Flag Count=0 (-0.01)
7 novel-vector TP (median-score novel TP),wednesday.csv,28275,wednesday,DoS Slowloris,1,0.999665,0.0275979,1,True,6,172.16.0.1:59696 -> 192.168.10.50:80,False,RST Flag Count=1 (+6.17); Bwd PSH Flags=0 (+1.40); Down/Up Ratio=0.214286 (+0.65),ACK Flag Count=15 (-0.41); Bwd Init Win Bytes=0 (-0.33); Bwd IAT Min=3.14309e+07 (-0.24),Bwd Segment Size Avg=0 (+0.08); Bwd Packet Length Mean=0 (+0.07); Bwd Packet Length Max=0 (+0.05),Bwd Init Win Bytes=0 (-0.01); Packet Length Mean=149.471 (-0.01); Total TCP Flow Time=1.02583e+08 (-0.01)
8 exact-duplicate TP (median-score duplicated TP),friday.csv,145951,friday,Portscan,1,0.999772,0.0275979,1,False,6,172.16.0.1:45864 -> 192.168.10.50:9595,False,RST Flag Count=1 (+6.45); Flow Duration=26 (+3.19); Bwd PSH Flags=0 (+1.17),Bwd Init Win Bytes=0 (-0.19); Total Length of Bwd Packet=0 (-0.09); SYN Flag Count=1 (-0.06),Fwd Packet Length Max=0 (+0.08); Flow Duration=26 (+0.06); Fwd Packet Length Mean=0 (+0.06),Bwd Init Win Bytes=0 (-0.01); Packet Length Variance=0 (-0.00); Bwd IAT Std=0 (-0.00)
9 rare family: Heartbleed (median-score row),wednesday.csv,250774,wednesday,Heartbleed,1,0.111291,0.0275979,1,True,6,172.16.0.1:45022 -> 192.168.10.51:444,False,Bwd Packet Length Std=2523.76 (+4.90); Fwd PSH Flags=120 (+0.79); Bwd Packet Length Min=0 (+0.41),Bwd PSH Flags=157 (-1.14); RST Flag Count=0 (-0.92); Bwd IAT Mean=58826.2 (-0.37),Bwd Packet Length Std=2523.76 (+0.17); Packet Length Std=2519.26 (+0.09); Bwd Packet Length Mean=3885.86 (+0.05),Total Length of Bwd Packet=7.88442e+06 (-0.04); Bwd Init Win Bytes=349 (-0.04); Total Bwd packets=2029 (-0.04)
10 rare family: Web Attack - SQL Injection (median-score row),thursday.csv,132409,thursday,Web Attack - SQL Injection,1,0.043494,0.0275979,1,True,6,172.16.0.1:36212 -> 192.168.10.50:80,False,Bwd Init Win Bytes=236 (+2.77); Bwd Packet Length Std=1219.56 (+0.87); Bwd Packet Length Min=0 (+0.66),RST Flag Count=0 (-1.98); FIN Flag Count=2 (-0.66); Fwd Packet Length Max=600 (-0.48),Total Bwd packets=5 (+0.01); Bwd PSH Flags=1 (+0.01); Bwd Init Win Bytes=236 (+0.01),Subflow Bwd Bytes=345 (-0.02); Packet Length Std=845.99 (-0.01); FIN Flag Count=2 (-0.01)
