feature,E1_mean_abs,E1_rank,E2_mean_abs,E2_rank
RST Flag Count,3.48169,1,3.54299,1
Bwd PSH Flags,0.720098,2,0.711206,4
Flow Duration,0.510176,3,0.43241,8
Bwd Init Win Bytes,0.48405,4,0.606329,6
Bwd Packet Length Std,0.454561,5,0.943061,3
SYN Flag Count,0.274797,6,0.331612,13
Fwd Seg Size Min,0.262497,7,0.644053,5
Flow IAT Min,0.213123,8,0.363342,10
Bwd Packet Length Min,0.2049,9,0.46913,7
Bwd Packet Length Mean,0.18334,10,0.984497,2
Fwd IAT Min,0.150301,11,0.15685,17
ACK Flag Count,0.128745,12,0.0339664,45
Fwd Packet Length Max,0.12206,13,0.150317,18
FIN Flag Count,0.118794,14,0.100947,23
Packet Length Mean,0.116097,15,0.0349667,44
Total TCP Flow Time,0.10152,16,0.354268,11
Fwd Packet Length Std,0.0935976,17,0.0876112,25
Bwd Segment Size Avg,0.0707073,18,0.00540895,67
Bwd Packets/s,0.0670954,19,0.141358,21
Down/Up Ratio,0.0661649,20,0.0353078,43
Total Length of Fwd Packet,0.0615996,21,0.080631,27
Active Min,0.0587622,22,0.209676,14
FWD Init Win Bytes,0.058024,23,0.176706,16
Packet Length Max,0.0542804,24,0.0562911,33
Bwd IAT Total,0.0534613,25,0.0881039,24
Subflow Bwd Bytes,0.0529897,26,0.141994,20
Total Length of Bwd Packet,0.0455397,27,0.42709,9
Fwd PSH Flags,0.0436402,28,0.0491242,34
Fwd IAT Total,0.0430924,29,0.0361954,42
Packet Length Std,0.0365012,30,0.180082,15
Fwd Header Length,0.0359319,31,0.143523,19
PSH Flag Count,0.034612,32,0.0378405,41
Flow IAT Mean,0.0294472,33,0.0631471,31
Flow IAT Max,0.027958,34,0.0665099,29
Fwd Act Data Pkts,0.0227561,35,0.0864262,26
Bwd IAT Min,0.0207571,36,0.0630209,32
Flow Packets/s,0.0187233,37,0.0183029,54
Total Bwd packets,0.0175282,38,0.031023,49
Flow Bytes/s,0.0174451,39,0.0339198,46
Flow IAT Std,0.0161425,40,0.0464733,37
Total Fwd Packet,0.0161368,41,0.040943,39
Bwd IAT Mean,0.0157722,42,0.0192537,52
Packet Length Min,0.0151238,43,0.0309473,50
Bwd RST Flags,0.0146127,44,0.332802,12
Bwd Header Length,0.0138933,45,0.0325169,48
Fwd IAT Mean,0.0129096,46,0.0120743,61
Bwd IAT Std,0.0117595,47,0.033272,47
Idle Min,0.0107613,48,0.0645279,30
Fwd Packet Length Min,0.0107389,49,0.0441172,38
Fwd Packets/s,0.0104961,50,0.0719651,28
Subflow Fwd Bytes,0.0102643,51,0.0187234,53
Fwd IAT Max,0.0102488,52,0.0471698,36
Active Mean,0.00784908,53,0.00621543,66
Bwd Packet Length Max,0.00782144,54,0.0405673,40
Fwd Packet Length Mean,0.00754207,55,0.0129165,58
Bwd IAT Max,0.00736389,56,0.0163833,55
Bwd Bytes/Bulk Avg,0.00685935,57,0.047661,35
Idle Max,0.00636092,58,0.0149112,57
Bwd Bulk Rate Avg,0.00615791,59,0.102205,22
Active Std,0.00614937,60,0.00656211,65
Fwd IAT Std,0.00505626,61,0.0250833,51
Fwd Bytes/Bulk Avg,0.0043753,62,0.00710846,64
Protocol,0.00431165,63,0.0052274,68
Active Max,0.00382858,64,0.0036291,69
Idle Mean,0.00314012,65,0.0128956,59
Fwd Packet/Bulk Avg,0.00239205,66,0.00911513,62
Fwd Bulk Rate Avg,0.00168838,67,0.0163192,56
Idle Std,0.00131311,68,0.00128918,72
Fwd RST Flags,0.000128535,69,0.0128155,60
Bwd Packet/Bulk Avg,5.55117e-05,70,0.00159197,71
Fwd URG Flags,0,71,0,75
Packet Length Variance,0,72,0.00885353,63
URG Flag Count,0,73,0,76
CWR Flag Count,0,74,0,77
ECE Flag Count,0,75,0,78
Average Packet Size,0,76,0.000559142,73
Fwd Segment Size Avg,0,77,0.00177112,70
Subflow Fwd Packets,0,78,1.66753e-05,74
Subflow Bwd Packets,0,79,0,79
ICMP Code,0,80,0,80
ICMP Type,0,81,0,81
