label,n,bwd_size,counts_direction,flags,fwd_size,header_length,pkt_size_both,protocol,rates,tcp_window,timing
Botnet,221,0.330311,0.025854,0.04273,0.080218,0.004279,0.063897,0.00096,0.041826,0.31197,0.097954
DDoS,28543,0.240596,0.002759,0.548896,0.038726,0.0137,0.045292,0.000118,0.005003,0.096714,0.008196
DoS GoldenEye,2270,0.436306,0.014203,0.125421,0.024794,0.022539,0.024896,6.4e-05,0.014004,0.280121,0.057652
DoS Hulk,47540,0.230464,0.003416,0.586067,0.002739,0.00941,0.046267,7.6e-05,0.006133,0.10887,0.006559
DoS Slowhttptest,522,0.206392,0.035655,0.300718,0.045745,0.040219,0.011069,0.000166,0.011721,0.1745,0.173816
DoS Slowloris,1158,0.141342,0.035938,0.350014,0.04999,0.041867,0.024137,0.000947,0.016907,0.13577,0.203088
FTP-Patator,1192,0.054893,0.014765,0.561453,0.271571,0.011667,0.032289,3.3e-05,0.001496,0.00608,0.045753
Infiltration - Portscan,21530,0.100705,0.038369,0.39084,0.036804,0.057111,0.011633,0.000979,0.00753,0.010553,0.345475
Portscan,47720,0.036603,0.001427,0.638762,0.041578,0.025119,0.018207,0.000387,0.005115,0.012866,0.219937
SSH-Patator,888,0.137442,0.075547,0.224687,0.033376,0.027381,0.014179,3.8e-05,0.021001,0.319931,0.146417
