label,n,rank,feature,group,mean_abs,share,mean_signed,sd,median_value
Botnet,221,1,Bwd Init Win Bytes,tcp_window,3.91906,0.262616,3.91906,0.749054,237
Botnet,221,2,Subflow Bwd Bytes,bwd_size,1.34298,0.0899929,1.34298,0.347556,14
Botnet,221,3,Bwd Packet Length Mean,bwd_size,1.0408,0.0697439,1.0408,0.128552,32
Botnet,221,4,RST Flag Count,flags,0.938363,0.0628796,-0.938363,0.142596,0
Botnet,221,5,Bwd Segment Size Avg,bwd_size,0.580145,0.0388754,0.580145,0.137006,32
Botnet,221,6,Packet Length Mean,pkt_size_both,0.529796,0.0355016,0.529796,0.122757,35.8889
Botnet,221,7,Total Length of Bwd Packet,bwd_size,0.507105,0.033981,0.506063,0.192786,128
Botnet,221,8,Bwd Packet Length Min,bwd_size,0.491923,0.0329637,0.491923,0.029314,0
Botnet,221,9,Bwd PSH Flags,flags,0.38072,0.025512,0.285131,0.269725,1
Botnet,221,10,Fwd Packet Length Max,fwd_size,0.301507,0.020204,0.264347,0.173695,195
DDoS,28543,1,RST Flag Count,flags,7.00474,0.449119,7.00474,0.403088,1
DDoS,28543,2,Bwd Packet Length Std,bwd_size,2.99548,0.19206,2.99485,0.397163,3125.17
DDoS,28543,3,Bwd Init Win Bytes,tcp_window,1.36129,0.0872811,1.36129,0.130858,229
DDoS,28543,4,Bwd PSH Flags,flags,0.831615,0.0533203,0.661772,0.54139,1
DDoS,28543,5,Packet Length Mean,pkt_size_both,0.41166,0.0263942,0.410401,0.066009,893.462
DDoS,28543,6,Fwd Packet Length Max,fwd_size,0.3068,0.0196709,0.3068,0.210534,20
DDoS,28543,7,FIN Flag Count,flags,0.245955,0.0157698,0.148122,0.202775,1
DDoS,28543,8,Fwd Seg Size Min,header_length,0.229246,0.0146984,-0.229246,0.0274549,20
DDoS,28543,9,Bwd Packet Length Mean,bwd_size,0.190133,0.0121906,0.189669,0.0540317,2319
DDoS,28543,10,Fwd Packet Length Std,fwd_size,0.145319,0.00931735,0.145319,0.0992193,7.07107
DoS GoldenEye,2270,1,Bwd Packet Length Std,bwd_size,5.45009,0.304322,5.4395,1.91692,2544.92
DoS GoldenEye,2270,2,Bwd Init Win Bytes,tcp_window,3.77052,0.210539,3.50033,1.9379,235
DoS GoldenEye,2270,3,RST Flag Count,flags,2.55418,0.14262,-0.0315233,3.01847,0
DoS GoldenEye,2270,4,FIN Flag Count,flags,1.01581,0.0567208,1.01581,0.5107,1
DoS GoldenEye,2270,5,Bwd Packet Length Min,bwd_size,0.532638,0.0297415,0.532638,0.217917,0
DoS GoldenEye,2270,6,Bwd PSH Flags,flags,0.517399,0.0288905,0.516338,0.256421,1
DoS GoldenEye,2270,7,Active Min,timing,0.435478,0.0243163,0.421285,0.249451,908
DoS GoldenEye,2270,8,Fwd Packet Length Max,fwd_size,0.29413,0.0164237,-0.292476,0.43406,416
DoS GoldenEye,2270,9,Fwd Seg Size Min,header_length,0.260156,0.0145266,0.255946,0.108976,32
DoS GoldenEye,2270,10,Bwd IAT Total,timing,0.2091,0.0116757,-0.12686,0.295971,1.14376e+07
DoS Hulk,47540,1,RST Flag Count,flags,6.99748,0.452318,6.99715,0.660292,2
