partition,day,benign,fp,fpr,ci95_low,ci95_high,fp_reverse,fp_attempted,benign_reverse_share
val,friday,40683,21,0.000516186,0.000337658,0.000789032,0,6,2.45803e-05
val,monday,51627,8,0.000154958,7.85229e-05,0.000305772,0,0,0
val,thursday,40286,78,0.00193616,0.00155179,0.0024155,41,5,0.00101772
val,tuesday,43736,45,0.0010289,0.000769094,0.00137635,0,0,0
val,wednesday,45292,40,0.000883158,0.000648676,0.0012023,0,30,0.0182151
test,friday,87783,654,0.00745019,0.00690249,0.008041,629,3,0.013465
test,monday,111486,22,0.000197334,0.000130326,0.000298784,0,0,0
test,thursday,87052,1800,0.0206773,0.0197529,0.021644,1766,10,0.0205739
test,tuesday,94544,50,0.000528854,0.000401203,0.000697093,0,1,0
test,wednesday,97498,247,0.00253339,0.00223685,0.00286912,0,212,0.00136413
