feature,group,rank,mean_abs_all,share_all,mean_abs_benign,mean_abs_attack,mean_signed_all,spearman_value_vs_shap_uniform,direction
RST Flag Count,flags,1,3.48169,0.395259,2.47229,6.66617,0.193348,0.781728,higher value -> toward attack
Bwd PSH Flags,flags,2,0.720098,0.0817493,0.6287,1.00844,0.0409364,-0.372114,non-monotone / mixed
Flow Duration,timing,3,0.510176,0.0579179,0.251822,1.32524,0.123855,-0.540185,higher value -> toward benign
Bwd Init Win Bytes,tcp_window,4,0.48405,0.0549519,0.346755,0.917191,-0.0378327,0.0529247,non-monotone / mixed
Bwd Packet Length Std,bwd_size,5,0.454561,0.0516042,0.103668,1.56157,0.301982,0.198664,non-monotone / mixed
SYN Flag Count,flags,6,0.274797,0.0311964,0.3395,0.0706671,-0.241891,0.888627,higher value -> toward attack
Fwd Seg Size Min,header_length,7,0.262497,0.0298001,0.25664,0.280977,-0.146196,0.637742,higher value -> toward attack
Flow IAT Min,timing,8,0.213123,0.0241949,0.243703,0.116651,-0.127124,-0.453701,non-monotone / mixed
Bwd Packet Length Min,bwd_size,9,0.2049,0.0232613,0.209819,0.189382,-0.0281184,-0.733686,higher value -> toward benign
Bwd Packet Length Mean,bwd_size,10,0.18334,0.0208137,0.15485,0.273218,-0.030296,-0.286708,non-monotone / mixed
Fwd IAT Min,timing,11,0.150301,0.017063,0.142433,0.175125,-0.00551109,-0.484957,non-monotone / mixed
ACK Flag Count,flags,12,0.128745,0.0146158,0.126508,0.135801,-0.0520438,-0.732566,higher value -> toward benign
Fwd Packet Length Max,fwd_size,13,0.12206,0.0138569,0.105052,0.175718,-0.0194796,-0.867164,higher value -> toward benign
FIN Flag Count,flags,14,0.118794,0.0134861,0.0661316,0.284933,0.0493185,-0.568931,higher value -> toward benign
Packet Length Mean,pkt_size_both,15,0.116097,0.0131799,0.0823966,0.222414,-0.00787928,0.23885,non-monotone / mixed
Total TCP Flow Time,timing,16,0.10152,0.0115251,0.0967019,0.116722,0.00368463,-0.695395,higher value -> toward benign
Fwd Packet Length Std,fwd_size,17,0.0935976,0.0106257,0.0855064,0.119124,0.0646514,-0.717879,higher value -> toward benign
Bwd Segment Size Avg,bwd_size,18,0.0707073,0.00802707,0.0651682,0.0881824,-0.0148365,-0.110828,non-monotone / mixed
Bwd Packets/s,rates,19,0.0670954,0.00761703,0.0652528,0.0729087,-0.0631788,0.243142,non-monotone / mixed
Down/Up Ratio,counts_direction,20,0.0661649,0.00751139,0.050971,0.114099,-0.0116043,-0.266208,non-monotone / mixed
Total Length of Fwd Packet,fwd_size,21,0.0615996,0.00699311,0.039752,0.130525,0.0293075,-0.831497,higher value -> toward benign
Active Min,timing,22,0.0587622,0.006671,0.0585584,0.0594053,-0.0157953,-0.555773,higher value -> toward benign
FWD Init Win Bytes,tcp_window,23,0.058024,0.0065872,0.0633823,0.0411197,-0.0207309,0.270068,non-monotone / mixed
Packet Length Max,pkt_size_both,24,0.0542804,0.00616219,0.0225708,0.154319,0.0383094,-0.158709,non-monotone / mixed
Bwd IAT Total,timing,25,0.0534613,0.00606921,0.0577375,0.0399704,-0.0346884,-0.704293,higher value -> toward benign
Subflow Bwd Bytes,bwd_size,26,0.0529897,0.00601567,0.0396828,0.0949705,-0.00341957,-0.0175069,non-monotone / mixed
Total Length of Bwd Packet,bwd_size,27,0.0455397,0.00516991,0.0421025,0.0563835,-0.0333564,0.39261,non-monotone / mixed
Fwd PSH Flags,flags,28,0.0436402,0.00495426,0.0452194,0.038658,-0.0157491,0.70391,higher value -> toward attack
Fwd IAT Total,timing,29,0.0430924,0.00489207,0.0390698,0.0557828,0.0421489,-0.521954,higher value -> toward benign
Packet Length Std,pkt_size_both,30,0.0365012,0.00414381,0.0243771,0.0747504,0.00274099,-0.112111,non-monotone / mixed
Fwd Header Length,header_length,31,0.0359319,0.00407918,0.0358769,0.0361053,0.0339661,-0.511272,higher value -> toward benign
PSH Flag Count,flags,32,0.034612,0.00392934,0.020946,0.0777261,0.0318234,-0.158781,non-monotone / mixed
Flow IAT Mean,timing,33,0.0294472,0.003343,0.0247692,0.0442054,-0.00562554,-0.647379,higher value -> toward benign
