population,n,bwd_size,counts_direction,flags,fwd_size,header_length,pkt_size_both,protocol,rates,tcp_window,timing
all_test,629992,0.12693,0.00961,0.539961,0.038307,0.035435,0.026743,0.000604,0.012052,0.07217,0.138187
TN,475590,0.104376,0.010449,0.529038,0.045914,0.045718,0.022585,0.000838,0.01755,0.077041,0.146491
FP,2773,0.016645,0.003872,0.413634,0.039702,0.109576,0.018067,0.002015,0.008886,0.119409,0.268194
TP,151576,0.153788,0.008806,0.554466,0.029964,0.022711,0.031461,0.000313,0.006104,0.065879,0.126508
FN,53,0.134823,0.027113,0.314977,0.053337,0.032107,0.02983,0.042714,0.030603,0.207286,0.127211
FP_mon-wed,319,0.106824,0.031827,0.456277,0.069093,0.025657,0.043496,0.001349,0.018184,0.129868,0.117425
TN_mon-wed,303209,0.105319,0.010634,0.525505,0.045656,0.045995,0.023767,0.000773,0.017819,0.077476,0.147056
FP_thursday,1800,0.010735,0.002615,0.403167,0.040031,0.118505,0.018386,0.002557,0.009639,0.115576,0.278791
TN_thursday,85252,0.103777,0.009819,0.536815,0.04383,0.044819,0.020787,0.000879,0.017442,0.078045,0.143787
FP_friday,654,0.011893,0.000835,0.432264,0.032016,0.104667,0.011324,0.000695,0.004691,0.127424,0.274192
TN_friday,87129,0.101747,0.010425,0.533597,0.048776,0.045638,0.020291,0.00102,0.016744,0.07461,0.147152
