feature_a,feature_b,mean_abs_interaction_x2
Flow Duration,RST Flag Count,1.21395
Bwd PSH Flags,RST Flag Count,1.00912
Bwd Packet Length Std,RST Flag Count,0.840011
RST Flag Count,Bwd Init Win Bytes,0.61024
SYN Flag Count,RST Flag Count,0.368986
Bwd Packet Length Mean,RST Flag Count,0.317741
Flow IAT Min,RST Flag Count,0.312514
RST Flag Count,Fwd Seg Size Min,0.306157
Flow Duration,Fwd Seg Size Min,0.283904
Fwd Packet Length Max,Bwd PSH Flags,0.233146
Bwd Packet Length Min,RST Flag Count,0.22907
Fwd Packet Length Max,RST Flag Count,0.2238
Fwd Packet Length Std,Bwd PSH Flags,0.210371
FIN Flag Count,RST Flag Count,0.190304
Fwd Packet Length Std,RST Flag Count,0.187563
