feature,lgbm_share,rf_share,lgbm_rank,rf_rank
RST Flag Count,0.321085,0.0206637,1,19
Bwd Init Win Bytes,0.0810596,0.0453197,2,4
Flow Duration,0.0771018,0.0408194,3,5
Fwd Seg Size Min,0.0660829,0.0456246,4,3
Total TCP Flow Time,0.0623272,0.0153391,5,25
Bwd PSH Flags,0.0486128,0.00380439,6,51
Bwd Packet Length Std,0.0307416,0.0353896,7,8
SYN Flag Count,0.0246192,0.0279441,8,15
FWD Init Win Bytes,0.0238211,0.0594465,9,2
Bwd Packet Length Mean,0.0203173,0.0307106,10,13
Fwd Packet Length Max,0.0158427,0.0628248,11,1
Bwd Packet Length Min,0.0157685,0.0070095,12,36
Packet Length Mean,0.0154336,0.0319343,13,10
FIN Flag Count,0.0136301,0.0039185,14,49
Fwd IAT Min,0.0132711,0.00329672,15,52
Fwd Packet Length Std,0.0128959,0.00315034,16,53
Total Length of Fwd Packet,0.0109901,0.0296734,17,14
Fwd PSH Flags,0.0101586,0.0125302,18,29
Flow IAT Min,0.00947886,0.00247382,19,58
Bwd Segment Size Avg,0.00867521,0.0307925,20,12
Subflow Bwd Bytes,0.00781209,0.0161049,21,23
Packet Length Max,0.0070013,0.0383239,22,6
Down/Up Ratio,0.00658029,0.0117606,23,30
Total Length of Bwd Packet,0.00626478,0.0139974,24,28
ACK Flag Count,0.00608109,0.00448391,25,44
Bwd IAT Total,0.00573943,0.0026337,26,57
Active Min,0.00558138,0.000751971,27,69
Bwd Packets/s,0.00407524,0.00747128,28,33
Fwd IAT Total,0.00400592,0.00584859,29,37
Packet Length Std,0.00373016,0.0223708,30,17
Fwd Header Length,0.00333954,0.0106252,31,31
Bwd RST Flags,0.00333227,0.00441826,32,45
Flow Bytes/s,0.00326218,0.0204772,33,20
Flow IAT Std,0.00310319,0.00296006,34,54
PSH Flag Count,0.00301705,0.00849953,35,32
Flow IAT Mean,0.00291475,0.0158059,36,24
Total Fwd Packet,0.00283289,0.00702095,37,35
Flow Packets/s,0.00277933,0.0311814,38,11
Bwd IAT Max,0.00256773,0.00549369,39,38
Flow IAT Max,0.00252974,0.0324857,40,9
Fwd Act Data Pkts,0.00252749,0.00516125,41,41
Fwd IAT Mean,0.00238792,0.00431682,42,46
Bwd Header Length,0.00195863,0.00728858,43,34
Bwd IAT Std,0.00182512,0.00518351,44,40
Bwd Packet Length Max,0.00172191,0.0163982,45,22
Bwd IAT Min,0.00165505,0.0028425,46,56
Fwd Packets/s,0.00159781,0.0221771,47,18
Protocol,0.00146088,0.0029357,48,55
Subflow Fwd Bytes,0.00143947,0.0142214,49,27
Bwd IAT Mean,0.00142631,0.00501536,50,42
Fwd Packet Length Mean,0.00130825,0.0368555,51,7
Active Std,0.00124137,0.00151523,52,63
Idle Max,0.00123376,0.00184329,53,61
Total Bwd packets,0.00119995,0.00499405,54,43
Fwd IAT Max,0.00112536,0.0054296,55,39
Active Mean,0.00104034,0.00218664,56,60
Idle Min,0.00100876,0.00168684,57,62
Fwd Packet Length Min,0.000868219,0.00112359,58,66
Active Max,0.000836957,0.00112677,59,65
Fwd Bytes/Bulk Avg,0.000641707,0.000601053,60,71
Packet Length Min,0.000630813,0.00387097,61,50
Fwd IAT Std,0.000490513,0.00421481,62,47
Idle Mean,0.00041084,0.000669647,63,70
Bwd Bytes/Bulk Avg,0.000404103,0.00139113,64,64
Fwd Packet/Bulk Avg,0.000394945,0.000593465,65,72
Bwd Bulk Rate Avg,0.000336249,0.00239745,66,59
Fwd Bulk Rate Avg,0.000223007,0.00025719,67,76
Idle Std,0.000129285,0.000463493,68,75
Bwd Packet/Bulk Avg,5.7247e-06,0.00102483,69,67
Fwd RST Flags,5.57543e-06,0.00420242,70,48
Fwd URG Flags,0,6.00792e-06,71,78
Packet Length Variance,0,0.0149573,72,26
URG Flag Count,0,1.82319e-05,73,77
CWR Flag Count,0,9.70931e-07,74,80
ECE Flag Count,0,0,75,81
Average Packet Size,0,0.0268547,76,16
Fwd Segment Size Avg,0,0.0189441,77,21
Subflow Fwd Packets,0,0.000837298,78,68
Subflow Bwd Packets,0,1.63736e-06,79,79
ICMP Code,0,0.000514748,80,73
ICMP Type,0,0.000496357,81,74
