label,n_label,source_file,source_row,novel,score,outcome,top_toward_attack,top_toward_benign
Heartbleed,3,wednesday.csv,250774,True,0.111291,TP,Bwd Packet Length Std=2523.76 (+4.90); Fwd PSH Flags=120 (+0.79); Bwd Packet Length Min=0 (+0.41),Bwd PSH Flags=157 (-1.14); RST Flag Count=0 (-0.92); Bwd IAT Mean=58826.2 (-0.37)
Heartbleed,3,wednesday.csv,251109,True,0.120018,TP,Bwd Packet Length Std=2443.18 (+4.93); Fwd PSH Flags=120 (+0.79); Bwd Packet Length Min=0 (+0.41),Bwd PSH Flags=161 (-1.14); RST Flag Count=0 (-0.91); Bwd IAT Mean=59451.1 (-0.37)
Heartbleed,3,wednesday.csv,345655,True,0.0134997,FN,Bwd Packet Length Std=2365.63 (+3.74); RST Flag Count=1 (+2.43); Fwd PSH Flags=25 (+0.49),Bwd PSH Flags=34 (-1.97); Bwd Init Win Bytes=349 (-1.10); ACK Flag Count=1031 (-0.75)
Web Attack - SQL Injection,4,thursday.csv,132409,True,0.043494,TP,Bwd Init Win Bytes=236 (+2.77); Bwd Packet Length Std=1219.56 (+0.87); Bwd Packet Length Min=0 (+0.66),RST Flag Count=0 (-1.98); FIN Flag Count=2 (-0.66); Fwd Packet Length Max=600 (-0.48)
Web Attack - SQL Injection,4,thursday.csv,170331,True,0.995037,TP,Bwd Init Win Bytes=236 (+4.24); Bwd Packet Length Std=1010.5 (+1.48); Packet Length Max=2021 (+1.05),RST Flag Count=0 (-1.25); Fwd Packet Length Max=599 (-0.44); Flow Duration=5.00612e+06 (-0.29)
Web Attack - SQL Injection,4,thursday.csv,222113,True,0.0405644,TP,Bwd Init Win Bytes=236 (+2.56); Bwd Packet Length Min=0 (+0.73); Active Min=12710 (+0.58),RST Flag Count=0 (-1.93); FIN Flag Count=2 (-0.44); Fwd Packet Length Max=599 (-0.43)
Web Attack - SQL Injection,4,thursday.csv,237434,True,0.460853,TP,Bwd Init Win Bytes=236 (+3.49); Active Min=5358 (+0.84); Bwd Packet Length Min=0 (+0.69),RST Flag Count=0 (-1.47); Fwd Packet Length Max=599 (-0.37); FIN Flag Count=2 (-0.37)
Web Attack - XSS,5,thursday.csv,117429,True,0.974618,TP,Fwd PSH Flags=101 (+2.30); Bwd Init Win Bytes=1149 (+1.97); Down/Up Ratio=0.509709 (+0.85),Bwd PSH Flags=101 (-1.05); ACK Flag Count=310 (-0.24); Fwd Packet Length Max=585 (-0.24)
Web Attack - XSS,5,thursday.csv,122100,True,0.889439,TP,Fwd PSH Flags=101 (+1.92); Bwd Init Win Bytes=1149 (+1.78); Total Length of Fwd Packet=48783 (+0.83),Bwd PSH Flags=101 (-1.06); RST Flag Count=0 (-0.26); ACK Flag Count=315 (-0.24)
Web Attack - XSS,5,thursday.csv,177980,True,0.978549,TP,Fwd PSH Flags=101 (+2.36); Bwd Init Win Bytes=1150 (+1.98); Down/Up Ratio=0.509709 (+0.85),Bwd PSH Flags=101 (-1.05); Fwd Packet Length Max=585 (-0.25); ACK Flag Count=310 (-0.24)
