group,n,q0.01,q0.1,q0.5,q0.9,q0.99,q0.999,set
FN,53,8.23916e-05,0.000686555,0.003236,0.0155724,0.022976,0.025133,test outcome
FP,2773,0.0369183,0.160662,0.964466,0.969311,0.969311,0.988382,test outcome
TN,475590,7.18167e-05,7.40595e-05,7.40595e-05,9.90977e-05,0.000710881,0.00487588,test outcome
TP,151576,0.993251,0.999769,0.999772,0.999775,0.999823,0.999905,test outcome
test benign friday,87783,7.27971e-05,7.40595e-05,7.40595e-05,0.000101134,0.00219676,0.963557,test benign by day group
test benign mon-wed,303528,7.00894e-05,7.40595e-05,7.40595e-05,0.000100964,0.00080684,0.0334405,test benign by day group
test benign thursday,87052,7.3211e-05,7.40595e-05,7.40595e-05,0.000108344,0.964466,0.969311,test benign by day group
val benign friday,40683,7.25233e-05,7.40595e-05,7.40595e-05,9.59096e-05,0.000735399,0.00781214,validation benign by day group
val benign mon-wed,140655,7.25233e-05,7.40595e-05,7.40595e-05,9.80838e-05,0.000809169,0.0149759,validation benign by day group
val benign thursday,40286,7.27971e-05,7.40595e-05,7.40595e-05,9.82786e-05,0.000860996,0.960687,validation benign by day group
