partition,daygroup,reverse_of_attack,benign,fp,fpr,ci95_low,ci95_high
val,mon-wed,True,825,0,0,0,0.00463473
val,mon-wed,False,139830,93,0.000665093,0.00054299,0.000814631
val,thursday,True,41,41,1,0.914332,1
val,thursday,False,40245,37,0.000919369,0.00066711,0.00126689
val,friday,True,1,0,0,0,0.793451
val,friday,False,40682,21,0.000516199,0.000337666,0.000789051
val,all,True,867,41,0.0472895,0.0350483,0.0635247
val,all,False,220757,151,0.00068401,0.000583292,0.000802105
test,mon-wed,True,133,0,0,0,0.0280723
test,mon-wed,False,303395,319,0.00105143,0.000942259,0.00117324
test,thursday,True,1791,1766,0.986041,0.979475,0.990527
test,thursday,False,85261,34,0.000398776,0.000285396,0.000557172
test,friday,True,1182,629,0.532149,0.503645,0.560444
test,friday,False,86601,25,0.00028868,0.000195553,0.000426138
test,all,True,3106,2395,0.771088,0.755983,0.785523
test,all,False,475257,378,0.000795359,0.000719145,0.000879643
