group,n,q0.01,q0.1,q0.5,q0.9,q0.99,q0.999,partition,share_ge_threshold
other|friday,40682,7.25233e-05,7.40595e-05,7.40595e-05,9.5903e-05,0.00073541,0.00781217,val,0.000516199
other|mon-wed,139830,7.25233e-05,7.40595e-05,7.40595e-05,9.6305e-05,0.000785983,0.0149572,val,0.000665093
other|thursday,40245,7.27971e-05,7.40595e-05,7.40595e-05,9.80838e-05,0.000753433,0.0264714,val,0.000919369
reverse|friday,1,0.000323185,0.000323185,0.000323185,0.000323185,0.000323185,0.000323185,val,0
reverse|mon-wed,825,7.72767e-05,7.72767e-05,0.000235997,0.000257323,0.00166165,0.0135954,val,0
reverse|thursday,41,0.960687,0.960687,0.960687,0.960687,0.960687,0.960687,val,1
other|friday,86601,7.27971e-05,7.40595e-05,7.40595e-05,9.57388e-05,0.000655507,0.00562452,test,0.00028868
other|mon-wed,303395,7.00894e-05,7.40595e-05,7.40595e-05,0.0001007,0.000806841,0.0335923,test,0.00105143
other|thursday,85261,7.30222e-05,7.40595e-05,7.40595e-05,9.7183e-05,0.000615774,0.00892316,test,0.000398776
reverse|friday,1182,0.000276253,0.000472804,0.960687,0.963557,0.963557,0.983179,test,0.532149
reverse|mon-wed,133,7.72767e-05,7.72767e-05,0.000235997,0.000235997,0.000404974,0.00105528,test,0
reverse|thursday,1791,0.00757485,0.193025,0.964466,0.969311,0.969311,0.969311,test,0.986041
