set,group,bin_lo,bin_hi,n
val benign by day group,friday,-12.0,-11.5,0
val benign by day group,friday,-11.5,-11.0,0
val benign by day group,friday,-11.0,-10.5,1
val benign by day group,friday,-10.5,-10.0,18
val benign by day group,friday,-10.0,-9.5,25312
val benign by day group,friday,-9.5,-9.0,12538
val benign by day group,friday,-9.0,-8.5,1064
val benign by day group,friday,-8.5,-8.0,563
val benign by day group,friday,-8.0,-7.5,637
val benign by day group,friday,-7.5,-7.0,225
val benign by day group,friday,-7.0,-6.5,133
val benign by day group,friday,-6.5,-6.0,93
val benign by day group,friday,-6.0,-5.5,42
val benign by day group,friday,-5.5,-5.0,14
val benign by day group,friday,-5.0,-4.5,10
val benign by day group,friday,-4.5,-4.0,6
val benign by day group,friday,-4.0,-3.5,6
val benign by day group,friday,-3.5,-3.0,8
val benign by day group,friday,-3.0,-2.5,7
val benign by day group,friday,-2.5,-2.0,0
val benign by day group,friday,-2.0,-1.5,2
val benign by day group,friday,-1.5,-1.0,0
val benign by day group,friday,-1.0,-0.5,0
val benign by day group,friday,-0.5,0.0,0
val benign by day group,friday,0.0,0.5,4
val benign by day group,friday,0.5,1.0,0
val benign by day group,friday,1.0,1.5,0
val benign by day group,friday,1.5,2.0,0
val benign by day group,friday,2.0,2.5,0
val benign by day group,friday,2.5,3.0,0
val benign by day group,friday,3.0,3.5,0
val benign by day group,friday,3.5,4.0,0
val benign by day group,friday,4.0,4.5,0
val benign by day group,friday,4.5,5.0,0
val benign by day group,friday,5.0,5.5,0
val benign by day group,friday,5.5,6.0,0
val benign by day group,friday,6.0,6.5,0
val benign by day group,friday,6.5,7.0,0
val benign by day group,friday,7.0,7.5,0
val benign by day group,friday,7.5,8.0,0
val benign by day group,friday,8.0,8.5,0
val benign by day group,friday,8.5,9.0,0
val benign by day group,friday,9.0,9.5,0
val benign by day group,friday,9.5,10.0,0
val benign by day group,friday,10.0,10.5,0
val benign by day group,friday,10.5,11.0,0
val benign by day group,friday,11.0,11.5,0
val benign by day group,friday,11.5,12.0,0
val benign by day group and direction,friday|other,-12.0,-11.5,0
val benign by day group and direction,friday|other,-11.5,-11.0,0
val benign by day group and direction,friday|other,-11.0,-10.5,1
val benign by day group and direction,friday|other,-10.5,-10.0,18
val benign by day group and direction,friday|other,-10.0,-9.5,25312
val benign by day group and direction,friday|other,-9.5,-9.0,12538
val benign by day group and direction,friday|other,-9.0,-8.5,1064
val benign by day group and direction,friday|other,-8.5,-8.0,562
val benign by day group and direction,friday|other,-8.0,-7.5,637
val benign by day group and direction,friday|other,-7.5,-7.0,225
val benign by day group and direction,friday|other,-7.0,-6.5,133
val benign by day group and direction,friday|other,-6.5,-6.0,93
val benign by day group and direction,friday|other,-6.0,-5.5,42
val benign by day group and direction,friday|other,-5.5,-5.0,14
val benign by day group and direction,friday|other,-5.0,-4.5,10
val benign by day group and direction,friday|other,-4.5,-4.0,6
val benign by day group and direction,friday|other,-4.0,-3.5,6
val benign by day group and direction,friday|other,-3.5,-3.0,8
val benign by day group and direction,friday|other,-3.0,-2.5,7
val benign by day group and direction,friday|other,-2.5,-2.0,0
val benign by day group and direction,friday|other,-2.0,-1.5,2
val benign by day group and direction,friday|other,-1.5,-1.0,0
val benign by day group and direction,friday|other,-1.0,-0.5,0
val benign by day group and direction,friday|other,-0.5,0.0,0
val benign by day group and direction,friday|other,0.0,0.5,4
val benign by day group and direction,friday|other,0.5,1.0,0
val benign by day group and direction,friday|other,1.0,1.5,0
val benign by day group and direction,friday|other,1.5,2.0,0
val benign by day group and direction,friday|other,2.0,2.5,0
val benign by day group and direction,friday|other,2.5,3.0,0
val benign by day group and direction,friday|other,3.0,3.5,0
val benign by day group and direction,friday|other,3.5,4.0,0
val benign by day group and direction,friday|other,4.0,4.5,0
val benign by day group and direction,friday|other,4.5,5.0,0
val benign by day group and direction,friday|other,5.0,5.5,0
val benign by day group and direction,friday|other,5.5,6.0,0
val benign by day group and direction,friday|other,6.0,6.5,0
val benign by day group and direction,friday|other,6.5,7.0,0
val benign by day group and direction,friday|other,7.0,7.5,0
val benign by day group and direction,friday|other,7.5,8.0,0
val benign by day group and direction,friday|other,8.0,8.5,0
val benign by day group and direction,friday|other,8.5,9.0,0
val benign by day group and direction,friday|other,9.0,9.5,0
val benign by day group and direction,friday|other,9.5,10.0,0
val benign by day group and direction,friday|other,10.0,10.5,0
val benign by day group and direction,friday|other,10.5,11.0,0
val benign by day group and direction,friday|other,11.0,11.5,0
val benign by day group and direction,friday|other,11.5,12.0,0
val benign by day group and direction,friday|reverse,-12.0,-11.5,0
val benign by day group and direction,friday|reverse,-11.5,-11.0,0
val benign by day group and direction,friday|reverse,-11.0,-10.5,0
val benign by day group and direction,friday|reverse,-10.5,-10.0,0
val benign by day group and direction,friday|reverse,-10.0,-9.5,0
val benign by day group and direction,friday|reverse,-9.5,-9.0,0
val benign by day group and direction,friday|reverse,-9.0,-8.5,0
val benign by day group and direction,friday|reverse,-8.5,-8.0,1
val benign by day group and direction,friday|reverse,-8.0,-7.5,0
val benign by day group and direction,friday|reverse,-7.5,-7.0,0
val benign by day group and direction,friday|reverse,-7.0,-6.5,0
val benign by day group and direction,friday|reverse,-6.5,-6.0,0
val benign by day group and direction,friday|reverse,-6.0,-5.5,0
val benign by day group and direction,friday|reverse,-5.5,-5.0,0
val benign by day group and direction,friday|reverse,-5.0,-4.5,0
val benign by day group and direction,friday|reverse,-4.5,-4.0,0
val benign by day group and direction,friday|reverse,-4.0,-3.5,0
val benign by day group and direction,friday|reverse,-3.5,-3.0,0
val benign by day group and direction,friday|reverse,-3.0,-2.5,0
val benign by day group and direction,friday|reverse,-2.5,-2.0,0
val benign by day group and direction,friday|reverse,-2.0,-1.5,0
val benign by day group and direction,friday|reverse,-1.5,-1.0,0
val benign by day group and direction,friday|reverse,-1.0,-0.5,0
val benign by day group and direction,friday|reverse,-0.5,0.0,0
val benign by day group and direction,friday|reverse,0.0,0.5,0
val benign by day group and direction,friday|reverse,0.5,1.0,0
val benign by day group and direction,friday|reverse,1.0,1.5,0
val benign by day group and direction,friday|reverse,1.5,2.0,0
val benign by day group and direction,friday|reverse,2.0,2.5,0
val benign by day group and direction,friday|reverse,2.5,3.0,0
val benign by day group and direction,friday|reverse,3.0,3.5,0
val benign by day group and direction,friday|reverse,3.5,4.0,0
val benign by day group and direction,friday|reverse,4.0,4.5,0
val benign by day group and direction,friday|reverse,4.5,5.0,0
val benign by day group and direction,friday|reverse,5.0,5.5,0
val benign by day group and direction,friday|reverse,5.5,6.0,0
val benign by day group and direction,friday|reverse,6.0,6.5,0
val benign by day group and direction,friday|reverse,6.5,7.0,0
val benign by day group and direction,friday|reverse,7.0,7.5,0
val benign by day group and direction,friday|reverse,7.5,8.0,0
val benign by day group and direction,friday|reverse,8.0,8.5,0
val benign by day group and direction,friday|reverse,8.5,9.0,0
val benign by day group and direction,friday|reverse,9.0,9.5,0
val benign by day group and direction,friday|reverse,9.5,10.0,0
val benign by day group and direction,friday|reverse,10.0,10.5,0
val benign by day group and direction,friday|reverse,10.5,11.0,0
val benign by day group and direction,friday|reverse,11.0,11.5,0
val benign by day group and direction,friday|reverse,11.5,12.0,0
val benign by day group,mon-wed,-12.0,-11.5,0
val benign by day group,mon-wed,-11.5,-11.0,0
val benign by day group,mon-wed,-11.0,-10.5,0
val benign by day group,mon-wed,-10.5,-10.0,52
val benign by day group,mon-wed,-10.0,-9.5,87001
val benign by day group,mon-wed,-9.5,-9.0,43615
val benign by day group,mon-wed,-9.0,-8.5,3897
val benign by day group,mon-wed,-8.5,-8.0,2659
val benign by day group,mon-wed,-8.0,-7.5,1500
val benign by day group,mon-wed,-7.5,-7.0,641
val benign by day group,mon-wed,-7.0,-6.5,441
val benign by day group,mon-wed,-6.5,-6.0,336
val benign by day group,mon-wed,-6.0,-5.5,169
val benign by day group,mon-wed,-5.5,-5.0,111
val benign by day group,mon-wed,-5.0,-4.5,65
val benign by day group,mon-wed,-4.5,-4.0,44
val benign by day group,mon-wed,-4.0,-3.5,34
val benign by day group,mon-wed,-3.5,-3.0,18
val benign by day group,mon-wed,-3.0,-2.5,9
val benign by day group,mon-wed,-2.5,-2.0,3
val benign by day group,mon-wed,-2.0,-1.5,11
val benign by day group,mon-wed,-1.5,-1.0,11
val benign by day group,mon-wed,-1.0,-0.5,17
val benign by day group,mon-wed,-0.5,0.0,10
val benign by day group,mon-wed,0.0,0.5,0
val benign by day group,mon-wed,0.5,1.0,6
val benign by day group,mon-wed,1.0,1.5,4
val benign by day group,mon-wed,1.5,2.0,1
val benign by day group,mon-wed,2.0,2.5,0
val benign by day group,mon-wed,2.5,3.0,0
val benign by day group,mon-wed,3.0,3.5,0
val benign by day group,mon-wed,3.5,4.0,0
val benign by day group,mon-wed,4.0,4.5,0
val benign by day group,mon-wed,4.5,5.0,0
val benign by day group,mon-wed,5.0,5.5,0
val benign by day group,mon-wed,5.5,6.0,0
val benign by day group,mon-wed,6.0,6.5,0
val benign by day group,mon-wed,6.5,7.0,0
val benign by day group,mon-wed,7.0,7.5,0
val benign by day group,mon-wed,7.5,8.0,0
val benign by day group,mon-wed,8.0,8.5,0
val benign by day group,mon-wed,8.5,9.0,0
val benign by day group,mon-wed,9.0,9.5,0
val benign by day group,mon-wed,9.5,10.0,0
val benign by day group,mon-wed,10.0,10.5,0
val benign by day group,mon-wed,10.5,11.0,0
val benign by day group,mon-wed,11.0,11.5,0
val benign by day group,mon-wed,11.5,12.0,0
val benign by day group and direction,mon-wed|other,-12.0,-11.5,0
val benign by day group and direction,mon-wed|other,-11.5,-11.0,0
val benign by day group and direction,mon-wed|other,-11.0,-10.5,0
val benign by day group and direction,mon-wed|other,-10.5,-10.0,52
val benign by day group and direction,mon-wed|other,-10.0,-9.5,87000
val benign by day group and direction,mon-wed|other,-9.5,-9.0,43301
val benign by day group and direction,mon-wed|other,-9.0,-8.5,3854
val benign by day group and direction,mon-wed|other,-8.5,-8.0,2235
