feature,role,bal_acc_binary,mi_binary_sample,n_attacks_bal_acc>=0.99
Dst IP,identifier/metadata/under experiment,0.992003304358877,,8
Total Length of Bwd Packet,candidate,0.9567894221493323,0.5893307075960335,3
Bwd Packet Length Mean,candidate,0.9553494382482137,0.5933740559381753,4
Bwd Segment Size Avg,candidate,0.9552733759554797,0.5939937825285388,4
Packet Length Max,candidate,0.9507051361082897,0.5750024188860512,5
Bwd Packet Length Max,candidate,0.9485313267042496,0.5633369486854827,6
Packet Length Mean,candidate,0.9470134482642187,0.5704209606217814,3
Average Packet Size,candidate,0.9466970870797348,0.5690565559757195,3
Subflow Bwd Bytes,candidate,0.9438168179802846,0.5758677661940521,3
Packet Length Std,candidate,0.9411358725326509,0.5622341691989496,4
Packet Length Variance,candidate,0.9410381727621877,0.562645342613485,5
Dst Port,identifier/metadata/under experiment,0.9380777781014316,,6
Fwd Packet Length Max,candidate,0.9309804472092222,0.5281280202769836,5
Src IP,identifier/metadata/under experiment,0.9266245338525629,,12
Total Length of Fwd Packet,candidate,0.9193115477791676,0.5031506103590639,1
RST Flag Count,candidate,0.9102688860353809,0.40239652640616064,0
ACK Flag Count,candidate,0.8915561782073915,0.44548836515710044,3
t,identifier/metadata/under experiment,0.8873781475846577,,0
Bwd Header Length,candidate,0.8833747302418666,0.5322332832267447,3
Total TCP Flow Time,candidate,0.8831360786254614,0.5509327303648868,2
Fwd Header Length,candidate,0.8584125799405591,0.5176768990714442,4
FWD Init Win Bytes,candidate,0.8473235041685456,0.3949355426775474,1
SYN Flag Count,candidate,0.8335271279442488,0.35968936279254615,1
Fwd Packet Length Min,candidate,0.8142746115177155,0.2935361996363266,0
Packet Length Min,candidate,0.8138129875382426,0.29341968549376674,0
Fwd Seg Size Min,candidate,0.8132147791298323,0.37674511182654613,2
Flow Duration,candidate,0.8116931216557424,0.48479402351609524,1
Bwd Packet Length Min,candidate,0.8109787618790343,0.2881602180063456,0
Flow IAT Max,candidate,0.8097407343729862,0.45741326862864384,4
Total Bwd packets,candidate,0.8090110386531308,0.26494984473798433,2
Bwd IAT Max,candidate,0.8052807164662295,0.3013349325264687,3
Bwd IAT Total,candidate,0.8039374002943873,0.2926113733376565,1
Bwd IAT Mean,candidate,0.800782589051664,0.2650972454258216,3
Subflow Fwd Bytes,candidate,0.8000303796164927,0.29222643693923334,3
