label,n_attack,feature,bal_acc
Botnet,736,Src IP,0.5
Botnet,736,Dst IP,1.0
Botnet,736,Src Port,0.4981597791735008
Botnet,736,Dst Port,1.0
Botnet,736,Protocol,0.5
Botnet,736,t,0.9106263758254953
Botnet,736,Flow Duration,0.9054509075349314
Botnet,736,Total Fwd Packet,0.9407064029028844
Botnet,736,Total Bwd packets,0.9535169623404918
Botnet,736,Total Length of Fwd Packet,0.9744299144593023
Botnet,736,Total Length of Bwd Packet,0.9842825147976324
Botnet,736,Fwd Packet Length Max,0.973073693270955
Botnet,736,Fwd Packet Length Min,0.828154990403071
Botnet,736,Fwd Packet Length Mean,0.9247127701750435
Botnet,736,Fwd Packet Length Std,0.9739487835792427
Botnet,736,Bwd Packet Length Max,0.9943236328749601
Botnet,736,Bwd Packet Length Min,0.8238456925844493
Botnet,736,Bwd Packet Length Mean,0.9755351070214042
Botnet,736,Bwd Packet Length Std,0.9725450718403954
Botnet,736,Flow Bytes/s,0.8290900652182611
Botnet,736,Flow Packets/s,0.8428291630026381
Botnet,736,Flow IAT Mean,0.8765723117813911
Botnet,736,Flow IAT Std,0.9122602006858029
Botnet,736,Flow IAT Max,0.9099326470882738
Botnet,736,Flow IAT Min,0.8246030897336021
Botnet,736,Fwd IAT Total,0.9703440170127131
Botnet,736,Fwd IAT Mean,0.9348512205300747
Botnet,736,Fwd IAT Std,0.94346056408553
Botnet,736,Fwd IAT Max,0.9725925061977279
Botnet,736,Fwd IAT Min,0.8489932337311412
Botnet,736,Bwd IAT Total,0.9765927814689634
Botnet,736,Bwd IAT Mean,0.9588439130434783
Botnet,736,Bwd IAT Std,0.963077046163693
Botnet,736,Bwd IAT Max,0.9725399255523535
Botnet,736,Bwd IAT Min,0.9191525378545532
Botnet,736,Fwd PSH Flags,0.9709385992964503
Botnet,736,Bwd PSH Flags,0.9430959331387212
Botnet,736,Fwd URG Flags,0.5
Botnet,736,Bwd URG Flags,0.5
Botnet,736,Fwd RST Flags,0.5293352543322528
Botnet,736,Bwd RST Flags,0.5149041731684871
Botnet,736,Fwd Header Length,0.9529119934650824
Botnet,736,Bwd Header Length,0.9553163985747728
Botnet,736,Fwd Packets/s,0.8514781384095382
Botnet,736,Bwd Packets/s,0.8447438958981641
Botnet,736,Packet Length Min,0.827006919723211
Botnet,736,Packet Length Max,0.9769573713231359
Botnet,736,Packet Length Mean,0.9726381155038817
Botnet,736,Packet Length Std,0.9618043020723313
Botnet,736,Packet Length Variance,0.9567036646751459
Botnet,736,FIN Flag Count,0.8695739147829566
Botnet,736,SYN Flag Count,0.8585882823435314
Botnet,736,RST Flag Count,0.5412470023980815
Botnet,736,PSH Flag Count,0.9713760294235227
Botnet,736,ACK Flag Count,0.9549193509098872
Botnet,736,URG Flag Count,0.5
