label,n_attack,feature,bal_acc
Botnet,736,Bwd Packet Length Max,0.9943236328749601
Botnet,736,Total Length of Bwd Packet,0.9842825147976324
Botnet,736,Packet Length Max,0.9769573713231359
DDoS,95144,Total Length of Fwd Packet,1.0
DDoS,95144,Fwd Packet Length Max,1.0
DDoS,95144,Fwd Packet Length Mean,0.9996905107385402
DoS GoldenEye,7567,Bwd Packet Length Std,0.9945102662464325
DoS GoldenEye,7567,Bwd Packet Length Max,0.9862200372748544
DoS GoldenEye,7567,Packet Length Max,0.9851908802333047
DoS Hulk,158468,Total Length of Bwd Packet,0.9996006073773449
DoS Hulk,158468,Bwd Packet Length Std,0.9988231895149725
DoS Hulk,158468,Bwd Init Win Bytes,0.9988203222136725
DoS Slowhttptest,1740,Total Length of Bwd Packet,0.9715748962225772
DoS Slowhttptest,1740,Active Min,0.9693395496102247
DoS Slowhttptest,1740,Idle Max,0.968018064019601
DoS Slowloris,3859,Fwd Packet Length Max,0.9984997336773245
DoS Slowloris,3859,Packet Length Max,0.9814792591703668
DoS Slowloris,3859,Total Length of Bwd Packet,0.9722199983988471
FTP-Patator,3972,Bwd Packet Length Max,1.0
FTP-Patator,3972,Bwd Packet Length Std,0.9998400639744103
FTP-Patator,3972,Average Packet Size,0.9989599167933434
Heartbleed,11,Bwd Packet Length Max,1.0
Heartbleed,11,Bwd Packet Length Mean,1.0
Heartbleed,11,Bwd Packet Length Std,1.0
Infiltration,36,Fwd Packet Length Std,0.9360103454252157
Infiltration,36,Fwd Segment Size Avg,0.9291569513690041
Infiltration,36,Fwd Packet Length Max,0.9220244444444444
Infiltration - Portscan,71767,Fwd Seg Size Min,0.9914624129284231
Infiltration - Portscan,71767,FWD Init Win Bytes,0.9901235441159978
Infiltration - Portscan,71767,Total TCP Flow Time,0.9863286663358766
Portscan,159066,Total TCP Flow Time,0.9978440221969405
Portscan,159066,Fwd Seg Size Min,0.9960817779485349
Portscan,159066,ACK Flag Count,0.9953399023450543
SSH-Patator,2961,Packet Length Max,0.9987007795322806
SSH-Patator,2961,Fwd Packet Length Max,0.9986277365559233
SSH-Patator,2961,Bwd Packet Length Max,0.9981408730900354
Web Attack - Brute Force,73,Fwd Packet Length Max,1.0
Web Attack - Brute Force,73,Fwd Header Length,0.9973601055957761
Web Attack - Brute Force,73,Fwd Segment Size Avg,0.9960411084896229
Web Attack - SQL Injection,13,Flow IAT Max,0.9991400687944965
Web Attack - SQL Injection,13,Bwd IAT Max,0.9989401271847378
Web Attack - SQL Injection,13,Flow Packets/s,0.99212
Web Attack - XSS,18,Fwd PSH Flags,0.9999200095988481
Web Attack - XSS,18,Fwd Packet Length Max,0.999920006399488
Web Attack - XSS,18,Fwd Header Length,0.9994399551964157
