strategy,label,n_train,n_test,test_vector_in_train_any_label,test_vector_in_train_same_label,test_coarse_vector_in_train,test_flow_id_in_train,median_s_to_nearest_train_same_label
D_random_stratified,BENIGN,1107794,474772,0.12261675077721516,0.12261253822887618,0.7689985930088548,0.5713121245566293,0.00023794174194335938
D_random_stratified,Botnet,515,221,0.0,0.0,0.8959276018099548,0.013574660633484163,1.2041640281677246
D_random_stratified,Botnet - Attempted,2846,1221,0.8648648648648649,0.8648648648648649,1.0,0.8828828828828829,0.4931960105895996
D_random_stratified,DDoS,66600,28544,0.0,0.0,0.9971272421524664,0.7456207959641256,3.0994415283203125e-05
D_random_stratified,DoS GoldenEye,5296,2271,0.0,0.0,0.24174372523117568,1.0,0.000415802001953125
D_random_stratified,DoS GoldenEye - Attempted,56,24,0.0,0.0,1.0,1.0,0.002277374267578125
D_random_stratified,DoS Hulk,110927,47541,0.0,0.0,0.6981973454491912,1.0,4.696846008300781e-05
D_random_stratified,DoS Hulk - Attempted,406,175,0.0,0.0,0.9942857142857143,1.0,1.9788742065429688e-05
D_random_stratified,DoS Slowhttptest,1218,522,0.0,0.0,0.9137931034482759,1.0,0.005205035209655762
D_random_stratified,DoS Slowhttptest - Attempted,2357,1011,0.0,0.0,0.9990108803165183,1.0,0.0051648616790771484
D_random_stratified,DoS Slowloris,2701,1158,0.0,0.0,0.9896373056994818,1.0,0.00019657611846923828
D_random_stratified,DoS Slowloris - Attempted,1292,555,0.0018018018018018018,0.0018018018018018018,0.9963963963963964,1.0,0.04092001914978027
D_random_stratified,FTP-Patator,2780,1192,0.0,0.0,0.8246644295302014,0.012583892617449664,0.12300407886505127
D_random_stratified,FTP-Patator - Attempted,8,4,0.0,0.0,1.0,1.0,0.0015724897384643555
D_random_stratified,Heartbleed,7,4,0.0,0.0,0.0,1.0,120.25417804718018
D_random_stratified,Infiltration,25,11,0.0,0.0,0.0,1.0,125.46500396728516
D_random_stratified,Infiltration - Attempted,31,14,0.21428571428571427,0.0,0.9285714285714286,0.35714285714285715,10.000776052474976
D_random_stratified,Infiltration - Portscan,50236,21531,0.941897728856068,0.9418048395336956,0.9994891087269518,0.13780130973944546,4.792213439941406e-05
D_random_stratified,Portscan,111346,47720,0.9919530595138307,0.9918901927912824,0.9999790444258173,0.006621961441743504,2.5987625122070312e-05
D_random_stratified,SSH-Patator,2072,889,0.0,0.0,0.9437570303712036,0.008998875140607425,0.14766192436218262
D_random_stratified,SSH-Patator - Attempted,18,9,0.0,0.0,0.8888888888888888,0.2222222222222222,0.3026759624481201
D_random_stratified,Web Attack - Brute Force,51,22,0.0,0.0,0.0,1.0,31.746888995170593
D_random_stratified,Web Attack - Brute Force - Attempted,904,388,0.0,0.0,1.0,0.9948453608247423,1.267830491065979
D_random_stratified,Web Attack - SQL Injection,9,4,0.0,0.0,0.25,1.0,18.82013702392578
D_random_stratified,Web Attack - SQL Injection - Attempted,3,2,0.0,0.0,0.0,1.0,5.971562027931213
D_random_stratified,Web Attack - XSS,12,6,0.0,0.0,0.0,1.0,63.903648853302
D_random_stratified,Web Attack - XSS - Attempted,458,197,0.0,0.0,0.9949238578680203,1.0,1.2807989120483398
A_chrono_within_label,BENIGN,1107794,474772,0.12024087351402357,0.12023876723985408,0.7508867414253578,0.5068811977117438,4036.8111679553986
A_chrono_within_label,Botnet,515,221,0.0,0.0,0.9321266968325792,0.02262443438914027,251.46010398864746
A_chrono_within_label,Botnet - Attempted,2846,1221,0.7624897624897625,0.7624897624897625,1.0,0.000819000819000819,2930.7645411491394
A_chrono_within_label,DDoS,66600,28544,0.0,0.0,0.9950602578475336,0.8345361547085202,173.9213410615921
A_chrono_within_label,DoS GoldenEye,5296,2271,0.0,0.0,0.22501100836635843,1.0,45.141266107559204
A_chrono_within_label,DoS GoldenEye - Attempted,56,24,0.0,0.0,1.0,1.0,8.543844938278198
A_chrono_within_label,DoS Hulk,110927,47541,0.0,0.0,0.6933383816074546,1.0,151.61966514587402
A_chrono_within_label,DoS Hulk - Attempted,406,175,0.0,0.0,1.0,1.0,330.4767460823059
A_chrono_within_label,DoS Slowhttptest,1218,522,0.0,0.0,0.41379310344827586,0.9865900383141762,137.6261429786682
A_chrono_within_label,DoS Slowhttptest - Attempted,2357,1011,0.0,0.0,0.9950544015825915,1.0,41.846851110458374
A_chrono_within_label,DoS Slowloris,2701,1158,0.0,0.0,0.689119170984456,1.0,169.22925305366516
A_chrono_within_label,DoS Slowloris - Attempted,1292,555,0.0018018018018018018,0.0018018018018018018,0.8666666666666667,1.0,257.0125880241394
A_chrono_within_label,FTP-Patator,2780,1192,0.0,0.0,0.8322147651006712,0.008389261744966443,544.3678685426712
