strategy,part,n_test,test_vector_in_train_any_label,test_vector_in_train_same_label,test_coarse_vector_in_train,test_flow_id_in_train,labels_with_empty_train
D_random_stratified,attacks,155236,0.4423973820505553,0.44234584761266715,0.8933365971810663,0.512574402844701,0
D_random_stratified,benign,474772,0.12261675077721516,0.12261253822887618,0.7689985930088548,0.5713121245566293,0
A_chrono_within_label,attacks,155236,0.43933752480094823,0.43933752480094823,0.886269937385658,0.503059857249607,0
A_chrono_within_label,benign,474772,0.12024087351402357,0.12023876723985408,0.7508867414253578,0.5068811977117438,0
A_chrono_purged_train,attacks,155236,0.43933752480094823,0.43933752480094823,0.884975134633719,0.5030469736401351,0
A_chrono_purged_train,benign,474772,0.12024087351402357,0.12023876723985408,0.7508088092810865,0.5060871323498437,0
A_chrono_embargo_120s,attacks,89290,0.41305857318848693,0.41305857318848693,0.8874790010079516,0.5106842871542165,0
A_chrono_embargo_120s,benign,467635,0.12053203887647418,0.12052990045655265,0.7507628813070023,0.50606348968747,0
A_chrono_embargo_600s,attacks,26579,0.923511042552391,0.923511042552391,0.9909326912223936,0.007900974453515933,0
A_chrono_embargo_600s,benign,437076,0.12070212045502383,0.12069983252340553,0.7502470966147764,0.5044317235446467,0
B_burst_holdout_last_burst,attacks,162970,0.32140884825427996,0.3213781677609376,0.733889672945941,0.4775664232680861,0
B_burst_holdout_last_burst,benign,474772,0.12024087351402357,0.12023876723985408,0.7508930602478664,0.5064852181678785,0
